iter	Passed	Remaining
669	1633	804
670	1635	801
671	1637	799
672	1639	796
673	1642	794
674	1644	791
675	1645	788
676	1647	786
677	1649	783
678	1651	780
679	1653	778
680	1655	775
681	1658	773
682	1659	770
683	1661	767
684	1663	765
685	1665	762
686	1668	759
687	1669	757
688	1671	754
689	1674	752
690	1676	749
691	1677	746
692	1679	744
693	1681	741
694	1683	738
695	1685	736
696	1687	733
697	1689	731
698	1691	728
699	1693	725
700	1695	723
701	1697	720
702	1699	718
703	1701	715
704	1703	712
705	1705	710
706	1707	707
707	1709	705
708	1711	702
709	1713	699
710	1715	697
711	1717	694
712	1719	692
713	1721	689
714	1723	687
715	1725	684
716	1727	681
717	1729	679
718	1731	676
719	1733	674
720	1735	671
721	1737	669
722	1740	666
723	1742	664
724	1744	661
725	1746	659
726	1748	656
727	1750	654
728	1752	651
729	1755	649
730	1757	646
731	1759	644
732	1761	641
733	1763	639
734	1766	636
735	1768	634
736	1770	631
737	1772	629
738	1773	626
739	1776	624
740	1778	621
741	1781	619
742	1784	617
743	1787	614
744	1789	612
745	1791	609
746	1793	607
747	1795	604
748	1798	602
749	1800	600
750	1803	597
751	1804	595
752	1807	592
753	1809	590
754	1811	587
755	1814	585
756	1816	583
757	1819	580
758	1821	578
759	1823	575
760	1825	573
761	1827	570
762	1829	568
763	1832	565
764	1833	563
765	1835	560
766	1838	558
767	1840	555
768	1842	553
769	1844	551
770	1847	548
771	1850	546
772	1852	544
773	1854	541
774	1857	539
775	1860	536
776	1862	534
777	1864	532
778	1868	529
779	1870	527
780	1873	525
781	1875	522
782	1877	520
783	1879	517
784	1882	515
785	1884	513
786	1886	510
787	1889	508
788	1891	505
789	1893	503
790	1897	501
791	1899	498
792	1901	496
793	1904	494
794	1906	491
795	1908	489
796	1911	486
797	1913	484
798	1916	482
799	1919	479
800	1921	477
801	1924	475
802	1926	472
803	1928	470
804	1931	467
805	1934	465
806	1936	463
807	1939	460
808	1942	458
809	1944	456
810	1947	453
811	1949	451
812	1951	448
813	1953	446
814	1956	444
815	1958	441
816	1960	439
817	1962	436
818	1964	434
819	1966	431
820	1969	429
821	1971	426
822	1973	424
823	1975	421
824	1977	419
825	1979	417
826	1982	414
827	1983	412
828	1985	409
829	1987	407
830	1989	404
831	1991	402
832	1994	399
833	1996	397
834	1998	394
835	2000	392
836	2002	389
837	2004	387
838	2006	385
839	2009	382
840	2011	380
841	2013	377
842	2016	375
843	2018	373
844	2020	370
845	2023	368
846	2025	365
847	2027	363
848	2029	360
849	2031	358
850	2033	356
851	2035	353
852	2037	351
853	2039	348
854	2041	346
855	2044	343
856	2046	341
857	2047	338
858	2049	336
859	2051	334
860	2054	331
861	2057	329
862	2060	327
863	2062	324
864	2064	322
865	2066	319
866	2068	317
867	2071	314
868	2073	312
869	2075	310
870	2077	307
871	2079	305
872	2081	302
873	2084	300
874	2086	298
875	2088	295
876	2091	293
877	2094	290
878	2096	288
879	2098	286
880	2101	283
881	2104	281
882	2106	279
883	2109	276
884	2112	274
885	2114	272
886	2118	269
887	2121	267
888	2123	265
889	2125	262
890	2129	260
891	2132	258
892	2135	255
893	2138	253
894	2140	251
895	2142	248
896	2144	246
897	2147	243
898	2150	241
899	2152	239
900	2155	236
901	2158	234
902	2163	232
903	2167	230
904	2170	227
905	2173	225
906	2176	223
907	2178	220
908	2181	218
909	2184	216
910	2186	213
911	2189	211
912	2191	208
913	2193	206
914	2196	204
915	2199	201
916	2202	199
917	2204	196
918	2206	194
919	2210	192
920	2212	189
921	2215	187
922	2218	185
923	2220	182
924	2222	180
925	2225	177
926	2227	175
927	2230	173
928	2232	170
929	2234	168
930	2236	165
931	2238	163
932	2240	160
933	2242	158
934	2244	156
935	2246	153
936	2248	151
937	2250	148
938	2252	146
939	2254	143
940	2257	141
941	2259	139
942	2261	136
943	2263	134
944	2265	131
945	2267	129
946	2269	127
947	2271	124
948	2273	122
949	2275	119
950	2277	117
951	2279	114
952	2280	112
953	2283	110
954	2285	107
955	2287	105
956	2289	102
957	2291	100
958	2294	98
959	2296	95
960	2299	93
961	2304	91
962	2307	88
963	2309	86
964	2311	83
965	2313	81
966	2315	79
967	2318	76
968	2320	74
969	2322	71
970	2324	69
971	2326	67
972	2328	64
973	2331	62
974	2334	59
975	2335	57
976	2337	55
977	2339	52
978	2341	50
979	2343	47
980	2346	45
981	2348	43
982	2350	40
983	2352	38
984	2354	35
985	2357	33
986	2359	31
987	2361	28
988	2364	26
989	2366	23
990	2369	21
991	2371	19
992	2373	16
993	2375	14
994	2378	11
995	2380	9
996	2382	7
997	2383	4
998	2385	2
999	2388	0
